Dataset,Algorithm,Classifier,Centroids,Accuracy,Precision,Recall,F1,n_clusters,error
BasicMotions,Local DISSFCM,Majority Vote,57,1,1,1,1,12,0.1
BasicMotions,Local DISSFCM,Min Move,14,1,1,1,1,12,0.1
BasicMotions,Local DISSFCM,Turn Vote,35,0.875,0.916666667,0.875,0.866666667,12,1
BasicMotions,Local DISSFCM,Majority Vote,35,1,1,1,1,12,1
BasicMotions,Local DISSFCM,Min Move,12,0.9375,0.95,0.9375,0.936507937,12,1
BasicMotions,Local DISSFCM,Turn Vote,16,1,1,1,1,12,10
BasicMotions,Local DISSFCM,Majority Vote,16,1,1,1,1,12,10
BasicMotions,Local DISSFCM,Min Move,12,1,1,1,1,12,10
BasicMotions,Local IFCM,Turn Vote,4,0.8125,0.866666667,0.8125,0.772222222,4,
BasicMotions,Local IFCM,Majority Vote,4,0.75,0.592857143,0.75,0.654040404,4,
BasicMotions,Local IFCM,Min Move,4,1,1,1,1,4,
BasicMotions,Local IFCM,Turn Vote,8,0.75,0.625,0.75,0.666666667,8,
BasicMotions,Local IFCM,Majority Vote,8,0.8125,0.892857143,0.8125,0.781818182,8,
BasicMotions,Local IFCM,Min Move,8,1,1,1,1,8,
BasicMotions,Local IFCM,Turn Vote,12,0.8125,0.892857143,0.8125,0.781818182,12,
BasicMotions,Local IFCM,Majority Vote,12,0.875,0.9,0.875,0.861111111,12,
BasicMotions,Local IFCM,Min Move,12,1,1,1,1,12,
BasicMotions,Local IFCM,Turn Vote,16,0.8125,0.892857143,0.8125,0.781818182,16,
BasicMotions,Local IFCM,Majority Vote,16,0.875,0.916666667,0.875,0.866666667,16,
BasicMotions,Local IFCM,Min Move,16,1,1,1,1,16,
BasicMotions,Local IFCM,Turn Vote,20,0.9375,0.95,0.9375,0.936507937,20,
BasicMotions,Local IFCM,Majority Vote,20,1,1,1,1,20,
BasicMotions,Local IFCM,Min Move,20,1,1,1,1,20,
BasicMotions,Local IFCM,Turn Vote,24,0.8125,0.866666667,0.8125,0.772222222,24,
BasicMotions,Local IFCM,Majority Vote,24,1,1,1,1,24,
BasicMotions,Local IFCM,Min Move,24,1,1,1,1,24,
BasicMotions,Local IFCM,Turn Vote,28,0.8125,0.866666667,0.8125,0.772222222,28,
BasicMotions,Local IFCM,Majority Vote,28,0.9375,0.95,0.9375,0.936507937,28,
BasicMotions,Local IFCM,Min Move,28,1,1,1,1,28,
BasicMotions,Local IFCM,Turn Vote,32,0.8125,0.866666667,0.8125,0.772222222,32,
BasicMotions,Local IFCM,Majority Vote,32,1,1,1,1,32,
BasicMotions,Local IFCM,Min Move,32,1,1,1,1,32,
BasicMotions,Local IFCM,Turn Vote,36,0.875,0.9,0.875,0.861111111,36,
BasicMotions,Local IFCM,Majority Vote,36,1,1,1,1,36,
BasicMotions,Local IFCM,Min Move,36,1,1,1,1,36,
BasicMotions,Local IFCM,Turn Vote,40,0.875,0.9,0.875,0.861111111,40,
BasicMotions,Local IFCM,Majority Vote,40,1,1,1,1,40,
BasicMotions,Local IFCM,Min Move,40,1,1,1,1,40,
BasicMotions,FCM,Turn Vote,4,0.5,0.290909091,0.5,0.355555556,4,
BasicMotions,FCM,Majority Vote,4,0.5,0.290909091,0.5,0.355555556,4,
BasicMotions,FCM,Min Move,4,0.5,0.290909091,0.5,0.355555556,4,
BasicMotions,FCM,Turn Vote,8,0.75,0.625,0.75,0.666666667,8,
BasicMotions,FCM,Majority Vote,8,0.8125,0.866666667,0.8125,0.772222222,8,
BasicMotions,FCM,Min Move,8,0.6875,0.575,0.6875,0.603174603,8,
BasicMotions,FCM,Turn Vote,12,0.8125,0.892857143,0.8125,0.781818182,12,
BasicMotions,FCM,Majority Vote,12,0.8125,0.866666667,0.8125,0.772222222,12,
BasicMotions,FCM,Min Move,12,1,1,1,1,12,
BasicMotions,FCM,Turn Vote,16,0.75,0.625,0.75,0.666666667,16,
BasicMotions,FCM,Majority Vote,16,0.75,0.566666667,0.75,0.644444444,16,
BasicMotions,FCM,Min Move,16,0.75,0.592857143,0.75,0.654040404,16,
BasicMotions,FCM,Turn Vote,20,0.75,0.625,0.75,0.666666667,20,
BasicMotions,FCM,Majority Vote,20,0.75,0.592857143,0.75,0.654040404,20,
BasicMotions,FCM,Min Move,20,0.9375,0.95,0.9375,0.936507937,20,
BasicMotions,FCM,Turn Vote,24,0.75,0.625,0.75,0.666666667,24,
BasicMotions,FCM,Majority Vote,24,0.75,0.592857143,0.75,0.654040404,24,
BasicMotions,FCM,Min Move,24,0.9375,0.95,0.9375,0.936507937,24,
BasicMotions,FCM,Turn Vote,28,0.75,0.625,0.75,0.666666667,28,
BasicMotions,FCM,Majority Vote,28,0.75,0.592857143,0.75,0.654040404,28,
BasicMotions,FCM,Min Move,28,0.875,0.916666667,0.875,0.866666667,28,
BasicMotions,FCM,Turn Vote,32,0.75,0.625,0.75,0.666666667,32,
BasicMotions,FCM,Majority Vote,32,0.75,0.566666667,0.75,0.644444444,32,
BasicMotions,FCM,Min Move,32,0.9375,0.95,0.9375,0.936507937,32,
BasicMotions,FCM,Turn Vote,36,0.75,0.625,0.75,0.666666667,36,
BasicMotions,FCM,Majority Vote,36,0.75,0.566666667,0.75,0.644444444,36,
BasicMotions,FCM,Min Move,36,0.875,0.916666667,0.875,0.866666667,36,
BasicMotions,FCM,Turn Vote,40,0.75,0.625,0.75,0.666666667,40,
BasicMotions,FCM,Majority Vote,40,0.8125,0.85,0.8125,0.766666667,40,
BasicMotions,FCM,Min Move,40,0.9375,0.95,0.9375,0.936507937,40,
BasicMotions,KNN,Majority Vote,0,1,1,1,1,3,
BasicMotions,KNN,Majority Vote,0,1,1,1,1,4,
BasicMotions,KNN,Majority Vote,0,1,1,1,1,5,
BasicMotions,KNN,Majority Vote,0,1,1,1,1,6,
BasicMotions,KNN,Majority Vote,0,1,1,1,1,7,
BasicMotions,KNN,Majority Vote,0,1,1,1,1,8,
BasicMotions,KNN,Majority Vote,0,1,1,1,1,9,
BasicMotions,KNN,Majority Vote,0,1,1,1,1,10,
BasicMotions,KNN,Majority Vote,0,1,1,1,1,11,
BasicMotions,KNN,Majority Vote,0,1,1,1,1,12,
BasicMotions,KNN,Majority Vote,0,1,1,1,1,13,
BasicMotions,KNN,Majority Vote,0,1,1,1,1,14,
BasicMotions,KNN,Majority Vote,0,1,1,1,1,15,
BasicMotions,Local DISSFCM,Turn Vote,43,1,1,1,1,4,0.01
BasicMotions,Local DISSFCM,Majority Vote,41,1,1,1,1,4,0.01
BasicMotions,Local DISSFCM,Min Move,4,1,1,1,1,4,0.01
BasicMotions,Local DISSFCM,Turn Vote,44,0.9375,0.95,0.9375,0.936507937,4,0.1
BasicMotions,Local DISSFCM,Majority Vote,44,0.9375,0.95,0.9375,0.936507937,4,0.1
BasicMotions,Local DISSFCM,Min Move,4,1,1,1,1,4,0.1
BasicMotions,Local DISSFCM,Turn Vote,27,0.875,0.916666667,0.875,0.866666667,4,1
BasicMotions,Local DISSFCM,Majority Vote,28,1,1,1,1,4,1
BasicMotions,Local DISSFCM,Min Move,4,1,1,1,1,4,1
BasicMotions,Local DISSFCM,Turn Vote,4,0.6875,0.791666667,0.6875,0.65952381,4,10
BasicMotions,Local DISSFCM,Majority Vote,4,0.6875,0.791666667,0.6875,0.65952381,4,10
BasicMotions,Local DISSFCM,Min Move,4,1,1,1,1,4,10
BasicMotions,Local DISSFCM,Turn Vote,46,1,1,1,1,8,0.01
BasicMotions,Local DISSFCM,Majority Vote,46,1,1,1,1,8,0.01
BasicMotions,Local DISSFCM,Min Move,21,0.9375,0.95,0.9375,0.936507937,8,0.01
BasicMotions,Local DISSFCM,Turn Vote,55,0.9375,0.95,0.9375,0.936507937,8,0.1
BasicMotions,Local DISSFCM,Majority Vote,55,1,1,1,1,8,0.1
BasicMotions,Local DISSFCM,Min Move,25,1,1,1,1,8,0.1
BasicMotions,Local DISSFCM,Turn Vote,37,1,1,1,1,8,1
BasicMotions,Local DISSFCM,Majority Vote,37,1,1,1,1,8,1
BasicMotions,Local DISSFCM,Min Move,32,1,1,1,1,8,1
BasicMotions,Local DISSFCM,Turn Vote,15,1,1,1,1,8,10
BasicMotions,Local DISSFCM,Majority Vote,15,1,1,1,1,8,10
BasicMotions,Local DISSFCM,Min Move,12,0.9375,0.95,0.9375,0.936507937,8,10
BasicMotions,Local DISSFCM,Turn Vote,71,0.8125,0.892857143,0.8125,0.781818182,12,0.01
BasicMotions,Local DISSFCM,Majority Vote,71,0.9375,0.95,0.9375,0.936507937,12,0.01
BasicMotions,Local DISSFCM,Min Move,12,0.875,0.9,0.875,0.873015873,12,0.01
BasicMotions,Local DISSFCM,Turn Vote,65,1,1,1,1,12,0.1
BasicMotions,Local DISSFCM,Majority Vote,65,1,1,1,1,12,0.1
BasicMotions,Local DISSFCM,Min Move,12,0.875,0.9,0.875,0.873015873,12,0.1
BasicMotions,Local DISSFCM,Turn Vote,39,0.9375,0.95,0.9375,0.936507937,12,1
BasicMotions,Local DISSFCM,Majority Vote,39,1,1,1,1,12,1
BasicMotions,Local DISSFCM,Min Move,14,0.875,0.916666667,0.875,0.866666667,12,1
BasicMotions,Local DISSFCM,Turn Vote,17,0.9375,0.95,0.9375,0.936507937,12,10
BasicMotions,Local DISSFCM,Majority Vote,17,0.9375,0.95,0.9375,0.936507937,12,10
BasicMotions,Local DISSFCM,Min Move,17,0.9375,0.95,0.9375,0.936507937,12,10
BasicMotions,Local IFCM,Turn Vote,4,0.8125,0.866666667,0.8125,0.772222222,4,
BasicMotions,Local IFCM,Majority Vote,4,0.8125,0.866666667,0.8125,0.772222222,4,
BasicMotions,Local IFCM,Min Move,4,1,1,1,1,4,
BasicMotions,Local IFCM,Turn Vote,8,0.875,0.9,0.875,0.861111111,8,
BasicMotions,Local IFCM,Majority Vote,8,0.9375,0.95,0.9375,0.936507937,8,
BasicMotions,Local IFCM,Min Move,8,1,1,1,1,8,
BasicMotions,Local IFCM,Turn Vote,12,0.8125,0.892857143,0.8125,0.781818182,12,
BasicMotions,Local IFCM,Majority Vote,12,0.875,0.916666667,0.875,0.866666667,12,
BasicMotions,Local IFCM,Min Move,12,1,1,1,1,12,
BasicMotions,Local IFCM,Turn Vote,16,0.875,0.916666667,0.875,0.866666667,16,
BasicMotions,Local IFCM,Majority Vote,16,0.9375,0.95,0.9375,0.936507937,16,
BasicMotions,Local IFCM,Min Move,16,1,1,1,1,16,
BasicMotions,Local IFCM,Turn Vote,20,0.75,0.625,0.75,0.666666667,20,
BasicMotions,Local IFCM,Majority Vote,20,0.875,0.916666667,0.875,0.866666667,20,
BasicMotions,Local IFCM,Min Move,20,1,1,1,1,20,
BasicMotions,Local IFCM,Turn Vote,24,0.875,0.916666667,0.875,0.866666667,24,
BasicMotions,Local IFCM,Majority Vote,24,0.9375,0.95,0.9375,0.936507937,24,
BasicMotions,Local IFCM,Min Move,24,1,1,1,1,24,
BasicMotions,Local IFCM,Turn Vote,28,0.8125,0.866666667,0.8125,0.772222222,28,
BasicMotions,Local IFCM,Majority Vote,28,1,1,1,1,28,
BasicMotions,Local IFCM,Min Move,28,1,1,1,1,28,
BasicMotions,Local IFCM,Turn Vote,32,0.75,0.625,0.75,0.666666667,32,
BasicMotions,Local IFCM,Majority Vote,32,0.9375,0.95,0.9375,0.936507937,32,
BasicMotions,Local IFCM,Min Move,32,1,1,1,1,32,
BasicMotions,Local IFCM,Turn Vote,36,0.8125,0.892857143,0.8125,0.781818182,36,
BasicMotions,Local IFCM,Majority Vote,36,0.9375,0.95,0.9375,0.936507937,36,
BasicMotions,Local IFCM,Min Move,36,1,1,1,1,36,
BasicMotions,Local IFCM,Turn Vote,40,0.8125,0.892857143,0.8125,0.781818182,40,
BasicMotions,Local IFCM,Majority Vote,40,1,1,1,1,40,
BasicMotions,Local IFCM,Min Move,40,1,1,1,1,40,
